error_code,category_code,category_name,symptom,likely_cause,recommended_action,severity,typical_parts_replaced,manual_reference
OPT-001,OPT,光学系,画面に色ムラ・色調異常が表示される,イメージセンサーの経年劣化,イメージセンサーユニットを点検し、必要であれば交換する,中,イメージセンサーユニット,第12章 トラブルシューティング > 光学系
OPT-002,OPT,光学系,画像にノイズ・縦線が入る,ビデオプロセッサーの信号処理基板の不良,信号処理基板を点検し、必要であれば交換する,高,信号処理基板,第12章 トラブルシューティング > 光学系
OPT-003,OPT,光学系,画面が暗い、または明るさが不安定,ライトガイドファイバーの一部断線,ライトガイドファイバーの断線率を点検し、高い場合はスコープを交換する,中,なし（スコープ交換）,第12章 トラブルシューティング > 光学系
OPT-004,OPT,光学系,NBI（狭帯域光）観察モードに切り替わらない,フィルターホイールの動作不良,フィルターホイール駆動部を点検し、必要であれば交換する,中,フィルターホイール駆動部,第12章 トラブルシューティング > 光学系
OPT-005,OPT,光学系,オートフォーカスが効かない,フォーカスレンズ駆動部の不良,フォーカスレンズ駆動部を点検し、必要であれば交換する,中,フォーカスレンズ駆動部,第12章 トラブルシューティング > 光学系
OPT-006,OPT,光学系,画面に黒点・斑点が表示される,先端部レンズまたはイメージセンサー表面の汚れ・損傷,先端部レンズとイメージセンサーを清掃し、改善しなければスコープを交換する,低,なし,第12章 トラブルシューティング > 光学系
AWS-001,AWS,送気送水・吸引系,送水ボタンを押しても水が出ない,送水ポンプの故障、または送水チューブの閉塞,送水チューブの閉塞を確認し、改善しなければ送水ポンプを交換する,中,送水ポンプ,第12章 トラブルシューティング > 送気送水・吸引系
AWS-002,AWS,送気送水・吸引系,送気量が不足し画面の視野が狭い,送気ポンプの経年劣化,送気ポンプを点検し、必要であれば交換する,中,送気ポンプ,第12章 トラブルシューティング > 送気送水・吸引系
AWS-003,AWS,送気送水・吸引系,吸引力が低下している,鉗子栓の劣化による気密不良,鉗子栓を交換する,低,鉗子栓,第12章 トラブルシューティング > 送気送水・吸引系
AWS-004,AWS,送気送水・吸引系,先端ノズルから水が出続ける（操作と無関係）,送水ボタンのパッキン劣化,送水ボタンのパッキンを交換する,低,送水ボタンパッキン,第12章 トラブルシューティング > 送気送水・吸引系
AWS-005,AWS,送気送水・吸引系,副送水口から逆流が発生する,副送水口キャップの未装着・劣化,副送水口キャップを正しく装着し、劣化していれば交換する,低,副送水口キャップ,第12章 トラブルシューティング > 送気送水・吸引系
AWS-006,AWS,送気送水・吸引系,吸引チャンネル内に閉塞を検出,体液・粘液による吸引チャンネルの閉塞,専用ブラシで吸引チャンネルを洗浄する,低,なし,第12章 トラブルシューティング > 送気送水・吸引系
INS-001,INS,挿入部・湾曲部系,アングルノブを操作しても先端部が上下方向に湾曲しない,アングルワイヤー（上下方向）の断線,アングルワイヤーを点検し、断線していればスコープを修理に出す,高,アングルワイヤー,第12章 トラブルシューティング > 挿入部・湾曲部系
INS-002,INS,挿入部・湾曲部系,アングルノブを操作しても先端部が左右方向に湾曲しない,アングルワイヤー（左右方向）の断線,アングルワイヤーを点検し、断線していればスコープを修理に出す,高,アングルワイヤー,第12章 トラブルシューティング > 挿入部・湾曲部系
INS-003,INS,挿入部・湾曲部系,湾曲部の動きが硬く、操作に抵抗を感じる,湾曲部ゴムの硬化・劣化,湾曲部ゴムを点検し、必要であればスコープを修理に出す,中,湾曲部ゴム,第12章 トラブルシューティング > 挿入部・湾曲部系
INS-004,INS,挿入部・湾曲部系,挿入部表面に傷・亀裂を確認,使用・洗浄時の取り扱いによる損傷,損傷部の防水性を確認し、リークテストを実施する,中,なし（要リークテスト）,第12章 トラブルシューティング > 挿入部・湾曲部系
INS-005,INS,挿入部・湾曲部系,ユニバーサルコードの根本に屈曲した跡がある,保管時の巻き直径不足,直径20cm以上での保管を周知し、損傷があればコードを交換する,低,なし,第12章 トラブルシューティング > 挿入部・湾曲部系
ELE-001,ELE,光源・電気系,光源が点灯しない,LEDモジュールの故障,LEDモジュールを交換する,高,LEDモジュール,第12章 トラブルシューティング > 光源・電気系
ELE-002,ELE,光源・電気系,光量が安定せず明るさがちらつく,光源駆動基板の不良,光源駆動基板を点検し、必要であれば交換する,中,光源駆動基板,第12章 トラブルシューティング > 光源・電気系
ELE-003,ELE,光源・電気系,ビデオプロセッサーの起動に失敗する,内部電源ユニットの故障,電源ユニットを点検し、必要であれば交換する,高,電源ユニット,第12章 トラブルシューティング > 光源・電気系
ELE-004,ELE,光源・電気系,ビデオプロセッサーが操作中に再起動する,制御基板のファームウェア不整合,ファームウェアを最新版に更新する,中,なし,第12章 トラブルシューティング > 光源・電気系
ELE-005,ELE,光源・電気系,接続ケーブルの認識エラー,スコープコネクター接点の汚れ・劣化,コネクター接点を清掃し、改善しなければケーブルを交換する,低,なし,第12章 トラブルシューティング > 光源・電気系
CLN-001,CLN,防水・洗浄系,リークテストで圧力低下を検出,内視鏡外皮の微小な破損,破損箇所を特定し、防水性を再確認後に修理または使用中止とする,高,なし（要詳細点検）,第12章 トラブルシューティング > 防水・洗浄系
CLN-002,CLN,防水・洗浄系,自動洗浄消毒装置（AER）との接続エラー,AER接続コネクターの規格不一致・劣化,接続コネクターを点検し、適合性を確認する,中,なし,第12章 トラブルシューティング > 防水・洗浄系
CLN-003,CLN,防水・洗浄系,鉗子口キャップの破損を確認,経年劣化または取り扱い時の損傷,鉗子口キャップを交換する,低,鉗子口キャップ,第12章 トラブルシューティング > 防水・洗浄系
CLN-004,CLN,防水・洗浄系,洗浄後も内部チャンネルに汚れが残留,チャンネル内ブラッシングの不足、ブラシの劣化,洗浄手順を見直し、専用ブラシを交換する,中,なし,第12章 トラブルシューティング > 防水・洗浄系
